,Nama,Modal,Jual,Laba,categori_laba,cluster_kmeans,cluster_hc
0,kheira by dzira pink,232000,320000,83000.0,0,3,3
1,Arsyila Series by farfadh magenta,350000,440000,85000.0,1,2,0
2,Arsyila Series by farfadh hitam,355000,430000,70000.0,0,0,1
3,lunara alya syari hitam,310000,395000,80000.0,0,0,1
4,syarifah series old gold,222000,310000,83000.0,0,3,3
5,syarifah series bw,222000,310000,83000.0,0,3,3
6,umayra series alya moca,360000,450000,85000.0,1,2,0
7,umayra series alya moca,360000,450000,85000.0,1,2,0
8,lunara alya syari pink,310000,375000,60000.0,0,0,1
9,lunara alya syari pink,305000,385000,75000.0,0,0,1
10,syarifah series hitam,200000,320000,115000.0,1,1,2
11,syarifah series moca,200000,320000,115000.0,1,1,2
12,umayra series alya hitam,355000,450000,90000.0,1,2,0
13,umayra series alya hitam,355000,465000,105000.0,1,2,0
14,syarifah series hitam,200000,300000,95000.0,1,1,2
15,syarifah series hitam,200000,290000,85000.0,1,1,2
16,syarifah series hitam,200000,315000,110000.0,1,1,2
17,syarifah series bw,222000,320000,93000.0,1,1,2
18,syarifah series hitam,200000,300000,95000.0,1,1,2
19,syarifah series moca,195000,310000,110000.0,1,1,2
20,Rosela set arsyakayla hitam,307000,375000,63000.0,0,0,1
21,Rosela set arsyakayla hitam,307000,375000,63000.0,0,0,1
22,Rosela set arsyakayla hijau,307000,375000,63000.0,0,0,1
24,Rosela set arsyakayla hijau bunga pink,275000,385000,105000.0,1,1,0
26,salwa dress tosca,185000,285000,95000.0,1,1,2
27,Raya Eid by dzira bw,325000,410000,80000.0,0,0,1
28,Raya Eid by dzira denim,325000,410000,80000.0,0,0,1
29,Raya Eid by dzira moca,325000,410000,80000.0,0,0,1
30,alya naila series hitam,365000,460000,90000.0,1,2,0
31,salwah serief by farfadh syari hijau,360000,430000,65000.0,0,0,1
32,salwah serief by farfadh syari denim,355000,450000,90000.0,1,2,0
33,salwah serief by farfadh syari denim,355000,430000,70000.0,0,0,1
34,salwah serief by farfadh syari cream,355000,430000,70000.0,0,0,1
36,salwah serief by farfadh syari hitam,355000,430000,70000.0,0,0,1
37,salwah serief by farfadh syari hitam,355000,430000,70000.0,0,0,1
38,salwah serief by farfadh syari putih,355000,450000,90000.0,1,2,0
39,salwah serief by farfadh syari hijau,360000,450000,85000.0,1,2,0
40,syarifah series hitam,200000,300000,95000.0,1,1,2
41,syarifah series bw,200000,300000,95000.0,1,1,2
42,syarifah series moca,195000,300000,100000.0,1,1,2
43,umayra series alya bw,355000,450000,90000.0,1,2,0
45,Arsyila Series by farfadh putih,350000,450000,95000.0,1,2,0
48,alya naila series hitam,365000,470000,100000.0,1,2,0
49,salwah serief by farfadh syari hijau,360000,435000,70000.0,0,0,1
52,marwah series by dzira putih,225000,315000,85000.0,1,1,2
53,syarifah series moca,195000,290000,90000.0,1,1,2
54,Arsyila Series by farfadh hitam,350000,430000,75000.0,0,0,1
55,syarifah series bw,195000,290000,90000.0,1,1,2
56,Delisa set hijab arsyakayla maroon,295000,395000,95000.0,1,2,0
57,Delisa set hijab arsyakayla abu,295000,395000,95000.0,1,2,0
58,Delisa set hijab arsyakayla- pink,295000,395000,95000.0,1,2,0
59,Delisa set hijab arsyakayla ungu,295000,385000,85000.0,1,2,0
61,jeans set rok,210000,300000,85000.0,1,1,2
62,jeans set navy tua,190000,285000,90000.0,1,1,2
63,jeans set rok,210000,300000,85000.0,1,1,2
64,jeans set navy tua,190000,285000,90000.0,1,1,2
65,jeans set navy tua,190000,275000,80000.0,0,3,3
66,Delisa set hijab arsyakayla- pink,295000,385000,85000.0,1,2,0
67,marwah series by dzira hitam,225000,315000,85000.0,1,1,2
68,salwah serief by farfadh syari denim,360000,450000,85000.0,1,2,0
69,Raya Eid by dzira ungu,325000,415000,85000.0,1,2,0
70,Rosela set arsyakayla hitam motif 2,275000,385000,105000.0,1,1,0
72,jeans set rok,210000,295000,80000.0,0,3,3
73,Delisa set hijab arsyakayla coklat,295000,385000,85000.0,1,2,0
74,Delisa set hijab arsyakayla sage,317000,385000,63000.0,0,0,1
75,Delisa set hijab arsyakayla toska,317000,385000,63000.0,0,0,1
76,elena vol 2 syari farfad hitam,320000,410000,85000.0,1,2,0
77,syarifah series denim,190000,300000,105000.0,1,1,2
78,Raya Eid by dzira hitam,325000,410000,80000.0,0,0,1
79,Raya Eid by dzira bw,325000,410000,80000.0,0,0,1
80,syarifah series denim,190000,300000,105000.0,1,1,2
81,marwah series by dzira putih,225000,315000,85000.0,1,1,2
82,shofa series by dzira pink,242000,320000,73000.0,0,3,3
83,shofa series by dzira pink,242000,325000,78000.0,0,3,3
84,shofa series by dzira putih,242000,310000,63000.0,0,3,3
85,alya naila series putih,370000,470000,95000.0,1,2,0
86,alqiblat daily hitam,195000,275000,75000.0,0,3,3
87,alqiblat daily hitam,195000,275000,75000.0,0,3,3
88,alqiblat daily hitam,195000,295000,95000.0,1,1,2
90,alqiblat daily maroon,190000,295000,100000.0,1,1,2
91,alqiblat daily pink salem,190000,295000,100000.0,1,1,2
92,alqiblat daily pink salem,190000,295000,100000.0,1,1,2
93,alqiblat daily plumtua (D),190000,285000,90000.0,1,1,2
94,alqiblat daily ungu polis (B),190000,275000,80000.0,0,3,3
95,ANGELA RAYA MOM IKA,390000,480000,85000.0,1,2,0
96,ANGELA RAYA MOM REGINA,390000,480000,85000.0,1,2,0
98,ANGELA RAYA BOY UK L LENGAN PANJANG,170000,260000,85000.0,1,1,2
99,ANGELA RAYA DADDY UK L LENGAN PANJANG,190000,260000,65000.0,0,3,3
100,ANGELA RAYA MOM IKA,390000,480000,85000.0,1,2,0
101,ANGELA RAYA GIRL UK M,320000,410000,85000.0,1,2,0
102,ANGELA RAYA BOY UK M LENGAN PENDEK,150000,220000,65000.0,0,3,3
103,ANGELA RAYA DADDY UK XL LENGAN PENDEK,190000,260000,65000.0,0,3,3
104,ANGELA RAYA MOM REGINA,390000,470000,75000.0,0,0,1
105,ANGELA RAYA MOM REGINA,380000,470000,85000.0,1,2,0
106,ANGELA RAYA DADDY UK XL LENGAN PENDEK,180000,260000,75000.0,0,3,3
107,ANGELA RAYA MOM REGINA,380000,465000,80000.0,0,0,1
108,ANGELA RAYA MOM REGINA,380000,465000,80000.0,0,0,1
112,Delisa set hijab arsyakayla coklat,317000,385000,63000.0,0,0,1
113,Arsyila Series by farfadh hitam,350000,430000,75000.0,0,0,1
114,salwah serief by farfadh syari denim,360000,430000,65000.0,0,0,1
115,marwah series by dzira hitam,225000,320000,90000.0,1,1,2
116,almayra alya syari coklat,320000,420000,95000.0,1,2,0
117,Shaffana alya syari hitam,320000,395000,70000.0,0,0,1
118,alqiblat daily hitam,190000,295000,100000.0,1,1,2
119,alqiblat daily plumtua (D),190000,295000,100000.0,1,1,2
120,alqiblat daily ungu polis (B),190000,295000,100000.0,1,1,2
121,alqiblat daily hitam,190000,275000,80000.0,0,3,3
122,alqiblat daily begi F,190000,295000,100000.0,1,1,2
123,alqiblat daily maroon,190000,285000,90000.0,1,1,2
124,alqiblat daily begi F,190000,295000,100000.0,1,1,2
125,alqiblat daily hitam,190000,295000,100000.0,1,1,2
126,salwah serief by farfadh syari putih,360000,440000,75000.0,0,0,1
127,marwah series by dzira abu,225000,310000,80000.0,0,3,3
128,shofa series by dzira putih,210000,320000,105000.0,1,1,2
129,ANGELA RAYA MOM REGINA,380000,470000,85000.0,1,2,0
130,ANGELA RAYA MOM REGINA,380000,480000,95000.0,1,2,0
131,alqiblat daily maroon,190000,295000,100000.0,1,1,2
132,alya naila series putih,365000,460000,90000.0,1,2,0
133,syarifah series by dzira hitam,195000,300000,100000.0,1,1,2
134,syarifah series by dzira moca,200000,285000,80000.0,0,3,3
